@relation ZOOKEEPER_dataset-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version numeric
@attribute LOC numeric
@attribute LOC_touched numeric
@attribute NR numeric
@attribute NFix numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute AVG_LOC_added numeric
@attribute Churn numeric
@attribute MAX_Churn numeric
@attribute AVG_Churn numeric
@attribute ChgSetSize numeric
@attribute MAX_ChgSet numeric
@attribute AVG_ChgSize numeric
@attribute Buggy {Yes,No}

@data
3,211,1,3,0,0,0,0,0,0,0,391,216,130,No
3,526,48,4,0,23,23,5,23,23,5,556,216,139,No
3,89,1,3,0,0,0,0,0,0,0,391,216,130,No
3,834,2,3,0,0,0,0,0,0,0,391,216,130,No
3,458,1,3,0,0,0,0,0,0,0,391,216,130,No
3,100,1,3,0,0,0,0,0,0,0,391,216,130,No
3,152,1,3,0,0,0,0,0,0,0,391,216,130,No
3,63,6,4,0,3,3,0,3,3,0,556,216,139,No
3,44,1,3,0,0,0,0,0,0,0,391,216,130,No
3,108,7,3,0,0,0,0,0,0,0,391,216,130,No
3,36,1,3,0,0,0,0,0,0,0,391,216,130,No
3,56,1,3,0,0,0,0,0,0,0,391,216,130,No
3,42,1,3,0,0,0,0,0,0,0,391,216,130,No
3,100,1,3,0,0,0,0,0,0,0,391,216,130,No
3,76,7,4,0,2,2,0,2,2,0,556,216,139,No
3,41,1,3,0,0,0,0,0,0,0,391,216,130,No
3,36,1,3,0,0,0,0,0,0,0,391,216,130,No
3,40,1,3,0,0,0,0,0,0,0,391,216,130,No
3,102,2,3,0,0,0,0,0,0,0,391,216,130,No
3,509,4,4,0,0,0,0,0,0,0,556,216,139,No
3,48,1,3,0,0,0,0,0,0,0,391,216,130,No
3,143,1,3,0,0,0,0,0,0,0,391,216,130,No
3,107,1,3,0,0,0,0,0,0,0,391,216,130,No
3,211,1,3,0,0,0,0,0,0,0,391,216,130,No
3,152,4,4,0,3,3,0,3,3,0,690,299,172,No
3,40,1,3,0,0,0,0,0,0,0,391,216,130,No
3,46,1,3,0,0,0,0,0,0,0,391,216,130,No
3,49,1,3,0,0,0,0,0,0,0,391,216,130,No
3,34,1,3,0,0,0,0,0,0,0,391,216,130,No
3,99,1,3,0,0,0,0,0,0,0,391,216,130,No
3,118,1,3,0,0,0,0,0,0,0,391,216,130,No
3,284,25,5,0,11,9,2,7,5,1,890,276,178,No
3,252,1,3,0,0,0,0,0,0,0,391,216,130,No
3,253,1,3,0,0,0,0,0,0,0,391,216,130,No
3,53,11,3,0,2,2,0,2,2,0,343,216,114,No
3,1070,601,23,0,315,73,13,247,58,10,1391,216,60,Yes
3,40,6,3,0,1,1,0,-2,1,0,76,64,25,No
3,281,0,1,0,0,0,0,0,0,0,0,0,0,No
3,90,0,1,0,0,0,0,0,0,0,0,0,0,No
3,101,0,1,0,0,0,0,0,0,0,0,0,0,No
3,30,0,1,0,0,0,0,0,0,0,0,0,0,No
3,73,0,1,0,0,0,0,0,0,0,0,0,0,No
3,195,35,2,0,15,15,7,14,14,7,153,153,76,Yes
3,37,0,1,0,0,0,0,0,0,0,0,0,0,No
3,623,655,6,0,404,267,67,294,267,49,996,346,166,No
3,69,0,1,0,0,0,0,0,0,0,0,0,0,No
3,83,12,4,0,3,2,0,3,2,0,723,380,180,No
3,129,145,5,0,4,2,0,3,2,0,741,379,148,No
3,70,16,4,0,4,2,1,4,2,1,723,380,180,No
3,118,16,4,0,4,2,1,4,2,1,723,380,180,No
3,79,90,5,0,11,9,2,10,8,2,696,334,139,No
3,73,9,3,0,2,2,0,2,2,0,343,216,114,No
3,122,22,2,0,13,13,6,12,12,6,153,153,76,Yes
3,69,0,1,0,0,0,0,0,0,0,0,0,0,No
3,132,133,12,0,70,25,5,62,25,5,1274,231,106,No
3,1070,631,19,0,525,257,27,512,257,26,1449,216,76,No
3,71,0,1,0,0,0,0,0,0,0,0,0,0,No
3,48,0,1,0,0,0,0,0,0,0,0,0,0,No
3,269,81,12,0,27,12,2,25,12,2,1226,232,102,No
3,73,15,5,0,2,2,0,2,2,0,888,275,177,No
3,987,1167,22,2,162,26,7,151,26,6,1482,216,67,Yes
3,187,65,7,0,52,20,7,52,20,7,468,227,66,No
3,488,14,5,0,7,4,1,7,4,1,199,109,39,No
3,277,50,7,0,41,18,5,40,18,5,497,143,71,No
3,61,2,2,0,1,1,0,1,1,0,84,84,42,No
3,116,0,1,0,0,0,0,0,0,0,0,0,0,No
3,311,37,4,0,5,5,1,4,5,1,198,110,49,No
3,479,109,17,0,45,16,2,37,16,2,1409,227,82,No
3,133,191,6,0,62,43,10,57,38,9,982,330,163,No
3,46,11,3,0,2,2,0,2,2,0,343,216,114,No
3,893,972,9,0,4,2,0,-7,2,0,1045,266,116,No
3,189,232,10,0,23,15,2,14,15,1,1212,229,121,No
3,27,21,4,0,18,18,4,18,18,4,713,275,178,No
3,655,491,15,0,253,106,16,222,106,14,1216,270,81,Yes
3,413,747,12,0,173,147,14,160,137,13,1228,263,102,Yes
3,51,0,1,0,0,0,0,0,0,0,0,0,0,No
3,408,459,11,0,21,11,1,18,11,1,1140,223,103,No
3,42,0,1,0,0,0,0,0,0,0,0,0,0,No
3,107,28,9,0,12,6,1,11,6,1,1176,232,130,No
3,86,11,3,0,2,2,0,2,2,0,343,216,114,No
3,35,18,2,0,18,18,9,18,18,9,81,81,40,No
