@relation BOOKKEEPER_dataset-weka.filters.unsupervised.attribute.Remove-R2

@attribute Version numeric
@attribute LOC numeric
@attribute LOC_touched numeric
@attribute NR numeric
@attribute NFix numeric
@attribute LOC_added numeric
@attribute MAX_LOC_added numeric
@attribute AVG_LOC_added numeric
@attribute Churn numeric
@attribute MAX_Churn numeric
@attribute AVG_Churn numeric
@attribute ChgSetSize numeric
@attribute MAX_ChgSet numeric
@attribute AVG_ChgSize numeric
@attribute Buggy {Yes,No}

@data
2,154,138,12,0,37,14,3,35,13,2,936,198,78,No
2,85,40,5,0,22,22,4,22,22,4,498,231,99,No
2,170,49,6,0,31,26,5,31,26,5,794,246,132,No
2,190,40,7,1,19,15,2,19,15,2,688,220,98,Yes
2,127,107,12,0,43,20,3,27,16,2,942,198,78,No
2,80,2,2,0,1,1,0,1,1,0,303,303,151,Yes
2,91,43,3,0,20,20,6,13,13,4,453,242,151,No
2,86,1,2,0,0,0,0,0,0,0,211,211,105,No
2,114,56,4,0,53,44,13,52,44,13,323,245,80,Yes
2,277,69,7,0,60,30,8,60,30,8,332,157,47,Yes
2,550,207,10,1,177,110,17,172,110,17,401,102,40,Yes
2,28,0,1,0,0,0,0,0,0,0,0,0,0,No
2,89,5,2,0,4,4,2,4,4,2,119,119,59,Yes
2,284,41,6,0,33,23,5,33,23,5,334,109,55,No
2,176,36,3,0,6,3,2,-18,3,-6,213,142,71,Yes
2,508,54,5,0,18,9,3,-6,6,-1,225,122,45,Yes
2,210,5,2,0,5,5,2,5,5,2,217,217,108,No
2,148,5,2,0,3,3,1,3,3,1,71,71,35,No
2,99,1,2,0,0,0,0,0,0,0,217,217,108,No
2,133,0,1,0,0,0,0,0,0,0,0,0,0,No
2,249,13,2,0,12,12,6,12,12,6,234,234,117,Yes
2,228,78,10,0,53,26,5,51,26,5,910,203,91,No
2,173,107,7,0,97,68,13,97,68,13,805,211,115,No
2,508,496,22,3,352,94,16,330,93,15,1134,196,51,Yes
2,91,0,1,0,0,0,0,0,0,0,0,0,0,No
2,59,0,1,0,0,0,0,0,0,0,0,0,0,No
2,133,82,3,0,75,75,25,75,75,25,403,211,134,No
2,530,55,12,0,19,7,1,13,7,1,833,211,69,No
2,689,415,21,1,196,43,9,162,43,7,1075,203,51,Yes
2,151,4,2,0,2,2,1,2,2,1,386,386,193,Yes
2,175,11,3,0,1,1,0,1,1,0,361,211,120,No
2,149,11,3,0,1,1,0,1,1,0,361,211,120,No
2,93,750,7,0,6,2,0,-671,2,-95,700,259,100,No
2,666,1,2,0,0,0,0,0,0,0,130,130,65,No
2,56,0,1,0,0,0,0,0,0,0,0,0,0,Yes
2,256,327,10,0,98,37,9,83,37,8,891,211,89,Yes
2,55,5,3,0,0,0,0,0,0,0,403,211,134,No
2,49,23,3,0,13,13,4,10,10,3,540,329,180,Yes
2,99,4,2,0,0,0,0,0,0,0,211,211,105,No
2,40,11,3,0,1,1,0,1,1,0,361,211,120,No
2,70,29,3,0,0,0,0,-25,0,-8,403,211,134,No
2,95,0,1,0,0,0,0,0,0,0,0,0,0,No
2,43,0,1,0,0,0,0,0,0,0,0,0,0,No
2,49,8,3,0,0,0,0,0,0,0,433,271,144,No
2,64,4,2,0,0,0,0,0,0,0,271,271,135,No
2,319,107,5,0,82,47,16,82,47,16,772,271,154,No
2,139,13,5,0,5,3,1,5,3,1,778,271,155,Yes
2,144,21,6,0,7,4,1,7,4,1,798,271,133,Yes
2,192,25,5,0,15,13,3,15,13,3,780,278,156,Yes
2,47,1,2,0,0,0,0,0,0,0,271,271,135,No
2,166,69,6,0,38,37,6,38,37,6,712,271,118,No
2,163,17,4,0,14,13,3,14,13,3,634,271,158,No
2,59,1,2,0,0,0,0,0,0,0,271,271,135,No
2,149,14,3,0,1,1,0,1,1,0,538,271,179,No
2,75,4,2,0,0,0,0,0,0,0,271,271,135,No
2,37,0,1,0,0,0,0,0,0,0,0,0,0,No
2,38,0,1,0,0,0,0,0,0,0,0,0,0,No
2,39,2,2,0,0,0,0,0,0,0,271,271,135,No
2,40,1,2,0,0,0,0,0,0,0,271,271,135,No
2,97,12,4,0,1,1,0,1,1,0,453,271,113,No
2,72,8,4,0,1,1,0,1,1,0,453,271,113,No
2,89,4,3,0,1,1,0,1,1,0,421,271,140,No
