Dataset,#Training release,%traning,%Defective in training,%Defective in testing,Classifier,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Precision,Recall,AUC,Kappa
BOOKKEEPER,1,55.55555555555556,47.159090909090914,29.09090909090909,IBK,NOBALANCING,BESTFIRST,LEARNING,126.0,121.0,347.0,66.0,0.5101214574898786,0.65625,0.7039151531339032,0.36672618681115693,
BOOKKEEPER,1,91.66666666666666,50.0,29.09090909090909,IBK,OVERSAMPLING,BESTFIRST,NOSENSITIVE,48.0,53.0,103.0,16.0,0.4752475247524752,0.75,0.6866486378205128,0.35050487763135385,
BOOKKEEPER,1,91.66666666666666,50.0,29.09090909090909,IBK,OVERSAMPLING,BESTFIRST,THRESHOLD,96.0,106.0,206.0,32.0,0.4752475247524752,0.75,0.700508313301282,0.35050487763135385,
BOOKKEEPER,1,91.66666666666666,50.0,29.09090909090909,IBK,OVERSAMPLING,BESTFIRST,LEARNING,144.0,159.0,309.0,48.0,0.4752475247524752,0.75,0.6969150641025641,0.35050487763135385,
BOOKKEEPER,1,56.994818652849744,50.0,29.09090909090909,IBK,UNDERSAMPLING,BESTFIRST,NOSENSITIVE,43.0,45.0,111.0,21.0,0.48863636363636365,0.671875,0.6990184294871795,0.34523809523809507,
BOOKKEEPER,1,56.994818652849744,50.0,29.09090909090909,IBK,UNDERSAMPLING,BESTFIRST,THRESHOLD,86.0,92.0,220.0,42.0,0.48314606741573035,0.671875,0.6887269631410257,0.33806358900664635,
BOOKKEEPER,1,56.994818652849744,50.0,29.09090909090909,IBK,UNDERSAMPLING,BESTFIRST,LEARNING,129.0,139.0,329.0,63.0,0.48134328358208955,0.671875,0.6907385149572649,0.33568524276488887,
BOOKKEEPER,1,54.187192118226605,50.0,29.09090909090909,IBK,SMOTE,BESTFIRST,NOSENSITIVE,42.0,41.0,115.0,22.0,0.5060240963855421,0.65625,0.7126402243589743,0.36176091361208323,
BOOKKEEPER,1,54.187192118226605,50.0,29.09090909090909,IBK,SMOTE,BESTFIRST,THRESHOLD,84.0,84.0,228.0,44.0,0.5,0.65625,0.6958884214743589,0.3543653705062363,
BOOKKEEPER,1,54.187192118226605,50.0,29.09090909090909,IBK,SMOTE,BESTFIRST,LEARNING,126.0,127.0,341.0,66.0,0.4980237154150198,0.65625,0.6975716702279202,0.35191403626595014,
BOOKKEEPER,2,44.303797468354425,37.121212121212125,20.952380952380953,RANDOMFOREST,NOBALANCING,NOSELECTION,NOSENSITIVE,52.0,71.0,178.0,14.0,0.42276422764227645,0.7878787878787878,0.8503103322380431,0.381625441696113,
BOOKKEEPER,2,44.303797468354425,37.121212121212125,20.952380952380953,RANDOMFOREST,NOBALANCING,NOSELECTION,THRESHOLD,115.0,207.0,291.0,17.0,0.35714285714285715,0.8712121212121212,0.746311001582086,0.2979523610530715,
BOOKKEEPER,2,44.303797468354425,37.121212121212125,20.952380952380953,RANDOMFOREST,NOBALANCING,NOSELECTION,LEARNING,177.0,339.0,408.0,21.0,0.3430232558139535,0.8939393939393939,0.7675043608778549,0.2767764894960395,
BOOKKEEPER,2,53.4804753820034,50.0,20.952380952380953,RANDOMFOREST,OVERSAMPLING,NOSELECTION,NOSENSITIVE,58.0,104.0,145.0,8.0,0.35802469135802467,0.8787878787878788,0.8431909456005842,0.30049964311206295,
BOOKKEEPER,2,53.4804753820034,50.0,20.952380952380953,RANDOMFOREST,OVERSAMPLING,NOSELECTION,THRESHOLD,122.0,264.0,234.0,10.0,0.3160621761658031,0.9242424242424242,0.7105239138371668,0.2308720526118804,
BOOKKEEPER,2,53.4804753820034,50.0,20.952380952380953,RANDOMFOREST,OVERSAMPLING,NOSELECTION,LEARNING,187.0,411.0,336.0,11.0,0.31270903010033446,0.9444444444444444,0.7348518653739537,0.22626946986100432,
BOOKKEEPER,2,51.724137931034484,50.0,20.952380952380953,RANDOMFOREST,UNDERSAMPLING,NOSELECTION,NOSENSITIVE,57.0,93.0,156.0,9.0,0.38,0.8636363636363636,0.8582816112936595,0.33395522388059706,
